"nid"	"departamento_code"	"departamento_name"	"id"	"municipio_name"	"km2"	"habtotkm2"	"habrurkm2"	"pob2012t"	"pob2012ur"	"pob2012ru"	"pob2015t"	"pob2015ur"	"pob2015ru"	"municipio_capital_name"	"lat"	"lon"	"dms_lat"	"dms_lon"	"asnm"	"pob1963t"	"pob1963ur"	"pob1963ru"	"pob1971t"	"pob1971ur"	"pob1971ru"	"pob1995t"	"pob1995ur"	"pob1995ru"	"pob2005t"	"pob2005ur"	"pob2005ru"	"pob2008ur"	"pob2008ru"	"pob2008t"	"pob2009ur"	"pob2009ru"	"pob2009t"	"MACROREGIO"	"DEPTO"	"MUNICIPIO"	"POB_06"	"PURB_06"	"PRUR_06"	"POB_07"	"PURB_07"	"PRUR_07"	"POB_08"	"PURB_08"	"PRUR_08"	"POB_09"	"PURB_09"	"PRUR_09"	"POB_10"	"PURB_10"	"PRUR_10"	"POB_11"	"PURB_11"	"PRUR_11"	"POB_12"	"PURB_12"	"PRUR_12"	"POB_13"	"PURB_13"	"PRUR_13"	"POB_14"	"PURB_14"	"PRUR_14"
49	35	León	3505	Achuapa	416.24	35.5179704	29.30761099	14784	2585	12199	14935	3002	11933	Achuapa	13.05	-86.58333333	130300	-863500	330	8632	924	7708	9589	1349	8240	13585	2416	11169	14202	2285	11917	2505	12129	14634	2567	12109	14676	Pacifico	LEON	Achuapa	14287	2349	11938	14371	2415	11956	14455	2482	11973	14538	2551	11988	14621	2620	12000	14703	2693	12010	14784	2768	12016	14835	2842	11993	14885	2920	11966
50	35	León	3510	El Sauce	692.97	44.42472257	31.42415978	30785	9009	21776	31099	10142	20957	El Sauce	12.88333333	-86.53333333	125300	-863200	163	11923	2944	8979	12869	3246	9623	27570	7486	20084	29573	8087	21485	8701	21560	30261	8890	21488	30378	Pacifico	LEON	El Sauce	29749	8282	21468	29925	8480	21445	30100	8681	21418	30273	8886	21387	30445	9096	21349	30616	9303	21313	30785	9518	21267	30892	9720	21172	30996	9927	21069
51	35	León	3515	Santa Rosa del Peñón	227.6	46.89806678	36.52460457	10674	2361	8313	10783	2877	7906	Santa Rosa del PeÌ±ín	12.8	-86.36666667	124800	-862200	180	5555	383	5172	4530	509	4021	9831	2229	7602	10254	2005	8248	2265	8301	10566	2344	8252	10596	Pacifico	LEON	Santa Rosa del Penon	10315	2082	8233	10376	2161	8215	10436	2244	8192	10496	2329	8167	10556	2418	8138	10615	2507	8109	10674	2600	8074	10711	2690	8021	10747	2782	7965
52	35	León	3520	El Jicaral	431.48	26.73820339	24.42755168	11537	997	10540	11655	1256	10399	El Jicaral	12.71666667	-86.36666667	124300	-862200	115	2801	239	2562	3090	434	2656	10777	608	10169	11083	843	10240	955	10465	11420	990	10463	11453	Pacifico	LEON	El Jicaral	11149	876	10273	11215	911	10304	11280	946	10334	11345	984	10361	11410	1023	10387	11474	1063	10410	11537	1107	10430	11577	1153	10424	11616	1203	10414
53	35	León	3525	Larreynaga	780.22	41.15634052	24.08423265	32111	13320	18791	32438	13904	18534	Malpaisillo	12.66666667	-86.56666667	124000	-863400	92	18107	6112	11995	17375	4183	13192	32917	6048	26869	30846	12560	18286	13042	18567	31609	13160	18565	31725	Pacifico	LEON	Larreynaga	31031	12705	18326	31214	12849	18365	31396	12994	18402	31577	13138	18439	31756	13282	18474	31934	13417	18518	32111	13554	18557	32222	13668	18555	32331	13784	18547
54	35	León	3530	Telica	393.67	64.87413316	44.5627048	25539	7996	17543	25799	8843	16956	Telica	12.51666667	-86.85	123100	-865100	119	10286	1702	8584	10857	2338	8519	24028	6562	17466	24533	7264	17269	7800	17481	25281	7938	17415	25353	Pacifico	LEON	Telica	24680	7416	17264	24826	7572	17254	24970	7728	17242	25114	7887	17227	25257	8049	17208	25399	8207	17191	25539	8372	17167	25628	8525	17103	25714	8681	17033
55	35	León	3535	Quezalguaque	85.7	111.0268378	93.73395566	9515	1482	8033	9663	1716	7947	Quezalguaque	12.5	-86.9	123000	-865400	90	2836	220	2616	3506	364	3142	8167	1033	7134	9028	1303	7725	1431	7939	9370	1465	7939	9404	Pacifico	LEON	Quezalguaque	9098	1340	7758	9168	1377	7791	9238	1415	7823	9307	1454	7853	9377	1494	7882	9446	1535	7911	9515	1578	7937	9565	1622	7943	9614	1668	7946
56	35	León	3540	León	820.19	245.1870908	46.08078616	201100	163305	37795	204986	168361	36625	Leín	12.43333333	-86.88333333	122600	-865300	109	62019	45048	16971	75584	54841	20743	175823	134825	40998	189165	152449	36716	155197	36414	191611	156049	36115	192164	Pacifico	LEON	Leon	190868	154245	36623	192572	156045	36528	194278	157844	36434	195984	159631	36352	197690	161431	36259	199395	163063	36332	201100	164673	36427	202403	165933	36470	203699	167163	36536
57	35	León	3545	La Paz Centro	691.57	45.72639068	14.0998019	31623	21872	9751	31945	22680	9265	La Paz Centro 	12.33333333	-86.66666667	122000	-864000	67	11750	4431	7319	13308	6622	6686	29732	18697	11035	30378	20661	9717	21545	9758	31303	21713	9680	31393	Pacifico	LEON	La Paz Centro	30559	20889	9670	30740	21118	9621	30919	21347	9572	31097	21573	9524	31274	21800	9474	31449	22007	9443	31623	22212	9411	31733	22370	9362	31840	22526	9314
58	35	León	3550	Nagarote	598.39	61.50336737	23.23568241	36803	22899	13904	37558	24066	13492	Nagarote	12.25	-86.55	121500	-863300	75	12126	5241	6885	12699	7250	5449	31277	21043	10234	34525	21089	13436	22305	13734	36039	22523	13675	36198	Pacifico	LEON	Nagarote	34849	21403	13446	35174	21721	13453	35499	22039	13460	35825	22358	13467	36151	22680	13471	36477	22983	13494	36803	23288	13515	37056	23547	13509	37308	23806	13501
59	40	Matagalpa 	4005	Rancho Grande	598.23	56.24258228	51.15925313	33646	3041	30605	36091	5047	31043	Rancho Grande	13.23333333	-85.55	131400	-853300	600	0	0	0	0	0	0	18590	714	17876	28098	1820	26278	2501	27574	30075	2776	27933	30709	central	MATAGALPA	Rancho Grande	28837	2033	26804	29594	2270	27324	30368	2533	27835	31160	2825	28334	31970	3152	28818	32798	3496	29303	33646	3860	29786	34445	4236	30208	35259	4632	30628
60	40	Matagalpa 	4010	Río Blanco	662.51	51.95695159	28.67730298	34422	15423	18999	35263	16605	18658	Río Blanco	12.93333333	-85.21666667	125600	-851300	269	0	0	0	0	0	0	27347	9645	17702	32003	13861	18143	14861	18592	33453	15124	18629	33753	central	MATAGALPA	Rio Blanco	32345	14144	18201	32689	14431	18258	33033	14720	18313	33379	15001	18377	33726	15295	18431	34073	15576	18498	34422	15857	18565	34703	16107	18596	34983	16357	18626
61	40	Matagalpa 	4015	El Tuma - La Dalia	651.66	103.5969677	88.41880735	67510	9891	57619	71031	10958	60073	La Dalia	13.13333333	-85.73333333	130800	-854400	720	0	0	0	0	0	0	46002	3015	42987	58975	8449	50527	9265	54334	63599	9444	55010	64454	central	MATAGALPA	El Tuma - La Dalia	60138	8673	51465	61320	8903	52417	62520	9136	53384	63739	9367	54372	64977	9608	55369	66234	9855	56379	67510	10118	57392	68669	10377	58292	69843	10657	59186
62	40	Matagalpa 	4020	San Isidro	282.7	67.8634595	35.8224266	19185	9058	10127	19497	9143	10354	San Isidro	12.91666667	-86.18333333	125500	-861100	477	5952	1945	4007	6670	2471	4199	16070	5002	11068	18173	8624	9549	8813	9832	18645	8882	9930	18812	central	MATAGALPA	San Isidro	18318	8692	9626	18464	8758	9705	18608	8823	9786	18753	8881	9872	18897	8942	9955	19041	8995	10046	19185	9047	10138	19290	9080	10211	19394	9112	10282
63	40	Matagalpa 	4025	Sébaco	289.81	121.8764018	35.41975777	35321	25056	10265	36220	25193	11027	Sébaco	12.85	-86.1	125100	-860600	469	6839	2268	4571	9453	3200	6253	25544	16495	9049	32763	23515	9248	24088	9774	33862	24283	9948	34231	central	MATAGALPA	Sebaco	33124	23731	9393	33487	23944	9542	33851	24155	9696	34216	24346	9870	34583	24548	10036	34952	24721	10230	35321	24888	10433	35621	24997	10624	35921	25100	10821
64	40	Matagalpa 	4030	Matagalpa	619.36	243.2236502	88.83040558	150643	95625	55018	156217	102385	53832	Matagalpa	12.91666667	-85.91666667	125500	-855500	681	61520	15030	46490	60325	20682	39643	107248	61028	46220	136129	84393	51736	89627	52420	142047	91160	52449	143609	central	MATAGALPA	Matagalpa	138144	86247	51897	140179	88125	52054	142233	90022	52211	144307	91880	52427	146400	93816	52584	148512	95665	52847	150643	97513	53130	152490	99156	53334	154349	100782	53567
65	40	Matagalpa 	4035	San Ramón	424	83.66509434	75.55188679	35474	3440	32034	37324	4014	33310	San Ramín	12.91666667	-85.83333333	125500	-855000	640	21099	436	20663	14523	595	13928	23494	1586	21908	30989	2857	28132	3200	30219	33419	3285	30583	33868	central	MATAGALPA	San Ramon	31600	2954	28646	32221	3054	29168	32852	3155	29697	33493	3258	30234	34143	3366	30777	34804	3479	31325	35474	3601	31873	36083	3727	32356	36700	3864	32836
66	40	Matagalpa 	4040	Matiguás	1532.25	32.78185675	24.88301517	50230	12103	38127	51457	13917	37541	Matiguás	12.83333333	-85.45	125000	-852700	297	28087	1444	26643	29746	2221	27525	43868	8338	35530	46700	10427	36273	10536	34036	44572	10836	34135	44971	central	MATAGALPA	Matiguas	47199	10754	36446	47700	11087	36613	48203	11430	36774	48708	11772	36936	49214	12130	37084	49721	12486	37235	50230	12851	37379	50640	13199	37440	51049	13555	37494
67	40	Matagalpa 	4045	Muy Muy	375.06	43.63568496	30.88572495	16366	4782	11584	16632	5132	11501	Muy Muy	12.75	-85.61666667	124500	-853700	337	5461	691	4770	5613	1632	3981	13800	2968	10832	15503	4383	11120	4610	11296	15906	4690	11358	16048	central	MATAGALPA	Muy Muy	15627	4460	11166	15751	4537	11214	15874	4615	11259	15998	4689	11308	16121	4768	11353	16244	4843	11400	16366	4921	11445	16456	4989	11466	16544	5060	11484
68	40	Matagalpa 	4050	Esquipulas	218.58	80.37331869	51.92149327	17568	6219	11349	17747	6268	11479	Esquipulas	12.66666667	-85.78333333	124000	-854700	520	7831	1636	6195	7138	2264	4874	15697	4934	10763	16876	5999	10878	6050	11024	17074	6099	11128	17227	central	MATAGALPA	Esquipulas	16977	6035	10942	17077	6071	11007	17177	6105	11072	17276	6135	11141	17374	6167	11207	17471	6193	11279	17568	6219	11349	17629	6235	11394	17689	6251	11438
69	40	Matagalpa 	4055	San Dionisio	165.5	109.3293051	93.45619335	18094	2627	15467	18278	2944	15334	San Dionisio	12.75	-85.85	124500	-855100	380	3521	569	2952	3207	744	2463	17098	2367	14731	17381	2379	15002	2515	15070	17585	2576	15166	17742	central	MATAGALPA	San Dionisio	17485	2432	15054	17589	2484	15104	17691	2538	15153	17793	2591	15202	17894	2646	15248	17995	2701	15293	18094	2761	15333	18157	2818	15338	18218	2879	15339
70	40	Matagalpa 	4060	Terrabona	248.89	55.97251798	47.78817952	13931	2037	11894	14271	2223	12049	Terrabona	12.71666667	-85.96666667	124300	-855800	540	8274	690	7584	8623	933	7690	10832	1115	9717	12952	1838	11114	1965	11574	13539	1998	11663	13661	central	MATAGALPA	Terrabona	13091	1874	11217	13229	1910	11320	13369	1946	11423	13509	1982	11527	13649	2018	11631	13790	2056	11734	13931	2097	11834	14045	2135	11910	14158	2177	11981
71	40	Matagalpa 	4065	Ciudad Darío	735.31	68.03933035	39.35346997	50030	21093	28937	51253	21893	29360	Ciudad Darío	12.71666667	-86.11666667	124300	-860700	432	22881	3851	19030	22841	5708	17133	40809	11086	29723	46515	19463	27052	18330	25233	43563	18531	25422	43953	central	MATAGALPA	Ciudad Dario	47012	19731	27281	47511	19997	27513	48011	20264	27747	48514	20516	27998	49018	20780	28238	49523	21026	28498	50030	21273	28757	50438	21478	28960	50846	21686	29160
72	50	Boaco 	5005	San José de los Remates	280.46	29.49083648	22.34899807	8271	2003	6268	8355	2192	6163	San José de los Remates	12.58333333	-85.75	123500	-854500	550	4756	587	4169	4746	842	3904	7941	1633	6308	7945	1830	6115	1936	6161	8097	1974	6175	8149	central	BOACO	San Jose de Los Remates	7993	1866	6127	8040	1903	6137	8087	1940	6147	8133	1976	6157	8180	2014	6165	8226	2050	6175	8271	2089	6182	8300	2122	6178	8328	2157	6171
73	50	Boaco 	5010	Boaco	1086.81	53.82357542	31.67342958	58496	24073	34423	59985	24856	35129	Boaco	12.46666667	-85.65	122800	-853900	360	20351	4656	15695	19498	6443	13055	49299	18922	30377	54259	22204	32055	23171	33241	56412	23414	33479	56893	central	BOACO	Boaco	54857	22502	32356	55458	22800	32658	56061	23098	32963	56667	23391	33275	57274	23691	33584	57884	23962	33922	58496	24229	34267	58993	24444	34549	59489	24653	34837
74	50	Boaco 	5015	Camoapa	1483.29	26.12975211	15.42516972	38758	15878	22880	39153	16604	22549	Camoapa	12.38333333	-85.5	122300	-853000	520	16642	2617	14025	15559	4485	11074	34449	11850	22599	37231	14896	22335	15461	22522	37983	15658	22561	38219	central	BOACO	Camoapa	37454	15088	22366	37675	15281	22394	37895	15473	22422	38113	15662	22452	38330	15854	22476	38545	16030	22515	38758	16203	22555	38892	16341	22552	39024	16475	22549
75	50	Boaco 	5020	Santa Lucía	120.78	73.44759066	54.81867859	8871	2250	6621	8961	2365	6596	Santa Lucía	12.53333333	-85.7	123200	-854200	560	4914	609	4305	5032	727	4305	8440	1107	7333	8522	2111	6410	2189	6496	8685	2217	6523	8740	central	BOACO	Santa Lucia	8573	2139	6434	8623	2165	6458	8674	2193	6481	8723	2219	6504	8773	2247	6526	8822	2272	6550	8871	2298	6573	8902	2319	6582	8932	2342	6590
76	50	Boaco 	5025	Teustepe	645.73	46.81832964	39.16962198	30232	4939	25293	31470	5873	25597	Teustepe	12.41666667	-85.8	122500	-854800	145	13893	764	13129	12373	991	11382	22082	2865	19217	27078	4073	23005	4538	23829	28367	4686	23994	28680	central	BOACO	Teustepe	27514	4229	23284	27954	4390	23564	28400	4557	23843	28851	4728	24122	29306	4907	24399	29767	5088	24678	30232	5280	24952	30642	5468	25174	31054	5666	25388
77	50	Boaco 	5030	San Lorenzo	559.61	53.70525902	41.25909115	30054	6965	23089	30657	7853	22804	San Lorenzo	12.36666667	-85.66666667	122200	-854000	340	11059	592	10467	11979	2102	9877	26679	6342	20337	28223	6135	22088	5735	19421	25156	5867	19449	25316	central	BOACO	San Lorenzo	28483	6298	22186	28745	6464	22281	29006	6633	22373	29268	6803	22465	29530	6980	22550	29792	7155	22637	30054	7333	22721	30256	7503	22754	30457	7676	22781
78	55	Managua 	5505	San Francisco Libre	668.3	16.17537034	12.36271136	10810	2548	8262	10986	2959	8026	San Francisco Libre 	12.5	-85.3	123000	-851800	40	5416	697	4719	6176	685	5491	9559	1611	7948	10240	2236	8004	2415	8035	10450	2491	8076	10567	Pacifico	MANAGUA	San Francisco Libre	10322	2299	8023	10403	2364	8040	10485	2431	8055	10567	2498	8068	10648	2569	8079	10729	2641	8088	10810	2718	8092	10869	2793	8076	10928	2873	8054
79	55	Managua 	5510	Tipitapa	975.3	133.9351994	17.88680406	130627	113182	17445	138032	124540	13492	Tipitapa	12.18333333	-86.08333333	121100	-860500	50	15179	3600	11579	20315	5674	14641	92504	75878	16626	112975	95741	17233	103181	16639	119820	105773	16302	122075	Pacifico	MANAGUA	Tipitapa	115368	98395	16973	117803	101114	16689	120281	103899	16383	122802	106724	16078	125367	109642	15725	127975	112556	15419	130627	115572	15055	133061	118461	14600	135529	121449	14080
80	55	Managua 	5515	Mateare	297.4	141.4694015	14.51244116	42073	37757	4316	47921	44447	3474	Mateare	12.23333333	-86.41666667	121400	-862500	50	2845	1254	1591	3359	1331	2028	19259	12350	6909	30546	26941	3604	31630	3791	35421	32785	3747	36532	Pacifico	MANAGUA	Mateare	31982	28355	3627	33484	29840	3645	35054	31399	3655	36695	33031	3664	38409	34750	3660	40201	36532	3669	42073	38412	3661	43942	40318	3624	45890	42328	3562
81	55	Managua 	5520	Villa El Carmen	562.01	60.09323678	44.6273198	33773	8692	25081	35156	9879	25277	Villa El Carmen 	11.96666667	-86.5	115800	-863000	100	5334	765	4569	6816	791	6025	26777	2579	24198	30249	7434	22815	8087	23716	31803	8308	23972	32280	Pacifico	MANAGUA	Villa Carlos Fonseca	30736	7648	23089	31229	7867	23362	31726	8092	23634	32230	8320	23910	32739	8557	24182	33253	8799	24454	33773	9057	24716	34231	9313	24918	34692	9586	25106
82	55	Managua 	5522	Ciudad Sandino	51.11	1994.306398	58.30561534	101929	98949	2980	109644	107390	2254	Ciudad Sandino	12.16666667	-86.35	121000	-862100	90	0	0	0	0	0	0	84565	0	84565	84565	81871	2694	80466	2531	82997	82189	2475	84664	Pacifico	MANAGUA	Ciudad Sandino	86871	84232	2639	89233	86652	2581	91653	89133	2520	94131	91655	2476	96669	94261	2408	99268	96853	2415	101929	99519	2411	104447	102064	2383	107018	104684	2334
83	55	Managua 	5525	Managua	267.17	3850.761687	78.73264214	1028808	1007773	21035	1039292	1030928	8364	Managua	12.15	-86.26666667	120900	-861600	82	274278	234580	39698	430690	384904	45786	952695	911660	41035	988288	960653	27635	971747	22813	994560	985143	20562	1005705	Pacifico	MANAGUA	Managua	994198	969077	25120	1000071	977485	22585	1005905	985873	20032	1011698	994005	17692	1017448	1002338	15109	1023152	1009614	13538	1028808	1016744	12064	1032374	1021689	10685	1035869	1026425	9445
84	55	Managua 	5530	Ticuantepe	60.79	563.0366837	339.4801777	34227	13590	20637	35629	15108	20521	Ticuantepe	12.01666667	-86.2	120100	-861200	290	0	0	0	0	0	0	22891	8878	14013	30656	11754	18902	12136	18714	30850	12512	18998	31510	Pacifico	MANAGUA	Ticuantepe	31149	12058	19091	31648	12370	19278	32153	12688	19465	32663	13009	19654	33179	13341	19837	33700	13676	20024	34227	14028	20199	34691	14369	20321	35158	14729	20429
85	55	Managua 	5532	El Crucero	225.72	66.60021265	29.61633883	15033	8348	6685	15367	9138	6229	El Crucero	11.98333333	-86.3	115900	-861800	860	0	0	0	0	0	0	14048	0	14048	14048	7505	6544	7974	6533	14507	8149	6524	14673	Pacifico	MANAGUA	El Crucero	14188	7659	6528	14328	7817	6511	14469	7977	6491	14609	8138	6471	14750	8303	6447	14892	8468	6424	15033	8638	6395	15145	8798	6347	15256	8964	6292
86	55	Managua 	5535	San Rafael del Sur	357.3	142.7120067	60.61293031	50991	29334	21657	52437	32267	20169	San Rafael del Sur	11.83333333	-86.43333333	115000	-862600	123	15774	2411	13363	18494	2896	15598	41185	21206	19979	46988	26012	20976	25572	19336	44908	26157	19311	45468	Pacifico	MANAGUA	San Rafael del Sur	47551	26600	20951	48116	27199	20917	48685	27809	20877	49258	28423	20835	49833	29055	20777	50410	29684	20727	50991	30337	20654	51473	30955	20517	51955	31598	20357
87	60	Masaya 	6005	Nindirí	142.91	350.8361906	187.3346862	50138	23366	26772	53435	25288	28147	Nindirí	12	-86.11666667	120000	-860700	220	7551	1554	5997	8242	2148	6094	32437	8452	23985	42506	19667	22839	20904	24062	44966	21356	24469	45825	Pacifico	MASAYA	Nindiri	43530	20194	23335	44576	20733	23842	45643	21285	24359	46733	21845	24888	47845	22421	25424	48980	22991	25989	50138	23578	26560	51218	24132	27086	52317	24701	27616
88	60	Masaya 	6010	Masaya	146.62	1136.188787	349.6521621	166588	115322	51266	173874	123749	50125	Masaya	11.96666667	-86.08333333	115800	-860500	234	34158	23402	10756	45174	30796	14378	125385	94923	30462	148282	100833	47448	108238	48923	157161	110491	49118	159609	Pacifico	MASAYA	Masaya	150802	103091	47710	153353	105389	47964	155937	107727	48210	158552	110091	48461	161199	112509	48690	163878	114854	49024	166588	117225	49363	168996	119386	49610	171425	121561	49864
89	60	Masaya 	6015	Tisma	126.17	95.45058255	60.41055718	12043	4421	7622	12166	4529	7637	Tisma	12.06666667	-86.01666667	120400	-860100	50	3828	1377	2451	2823	1588	1235	10838	3874	6964	11569	4227	7342	4309	7450	11759	4363	7521	11884	Pacifico	MASAYA	Tisma	11638	4261	7377	11707	4295	7412	11775	4328	7447	11843	4361	7482	11910	4394	7516	11977	4424	7553	12043	4455	7588	12085	4478	7607	12126	4502	7623
90	60	Masaya 	6020	La Concepciín	65.67	597.319933	360.5756053	39226	15547	23679	40927	16563	24364	La Concepciín	11.93333333	-86.18333333	115600	-861100	460	9738	1704	8034	10689	2684	8005	30428	9861	20567	34945	13716	21229	14629	22393	37022	14902	22695	37597	Pacifico	MASAYA	La Concepcion	35534	13994	21541	36131	14275	21857	36736	14561	22175	37347	14848	22500	37966	15142	22824	38592	15429	23163	39226	15724	23502	39788	15995	23793	40355	16275	24080
91	60	Masaya 	6025	Masatepe	59.4	611.0606061	297.1548822	36297	18646	17651	37903	20191	17712	Masatepe	11.91666667	-86.13333333	115500	-860800	455	10328	5417	4911	12590	7181	5409	26244	14309	11935	32272	16216	16055	17472	16751	34223	17856	16903	34759	Pacifico	MASAYA	Masatepe	32825	16599	16226	33386	16990	16396	33954	17388	16566	34529	17792	16738	35111	18205	16907	35701	18609	17091	36297	19022	17275	36828	19405	17423	37363	19795	17568
92	60	Masaya 	6030	Nandasmo	17.63	749.1208168	493.5904708	13207	4505	8702	14211	5443	8768	Nandasmo	11.91666667	-86.11666667	115500	-860700	400	2219	1009	1210	3249	2659	590	8116	4763	3353	10948	3460	7488	4021	8003	12024	4187	8087	12274	Pacifico	MASAYA	Nandasmo	11248	3627	7622	11555	3800	7755	11870	3982	7888	12192	4172	8021	12523	4370	8153	12861	4573	8288	13207	4785	8422	13535	4997	8538	13869	5216	8654
93	60	Masaya 	6035	Catarina	11.49	731.5926893	152.6544822	8406	6652	1754	8492	6891	1600	Catarina	11.9	-86.06666667	115400	-860400	520	2600	1883	717	2972	1964	1008	7637	3553	4084	8075	6283	1791	6357	1715	8072	6471	1706	8177	Pacifico	MASAYA	Catarina	8123	6353	1770	8171	6423	1748	8219	6493	1726	8266	6561	1705	8313	6631	1682	8360	6694	1666	8406	6756	1650	8435	6803	1633	8464	6848	1615
94	60	Masaya 	6040	San Juan de Oriente	9.2	666.4130435	295	6131	3417	2714	32124	10696	21427	San Juan de Oriente	11.9	-86.06666667	115400	-860400	495	0	0	0	4847	1140	3707	18536	2252	16284	25379	7860	17519	3008	2382	5390	3082	2447	5529	central	MADRIZ	San Juan de Rio Coco	26008	8123	17885	26651	8393	18259	27308	8670	18638	27979	8947	19032	28665	9239	19426	29365	9528	19837	30080	9824	20255	30748	10108	20640	31430	10399	21031
95	60	Masaya 	6045	Niquinohomo	31.69	511.7702745	247.0810981	16218	8388	7830	16383	8437	7947	Niquinohomo	11.9	-86.08333333	115400	-860500	440	5268	1877	3391	5294	2393	2901	14151	5502	8649	15579	8099	7480	8196	7641	15837	8278	7726	16004	Pacifico	MASAYA	Niquinohomo	15672	8144	7529	15765	8188	7577	15857	8232	7625	15948	8274	7674	16039	8315	7724	16129	8350	7779	16218	8384	7834	16274	8401	7873	16329	8418	7911
96	65	Chontales 	6505	Comalapa	643.86	27.31028484	23.86388345	17584	2219	15365	17817	3528	14289	Comalapa	12.28333333	-85.5	121700	-853000	270	7361	441	6920	5058	512	4546	15595	1100	14495	16774	1509	15264	1686	12841	14527	1898	13141	15039	central	CHONTALES	Comalapa	16891	1657	15234	17008	1817	15190	17124	1994	15130	17240	2182	15057	17355	2392	14963	17470	2608	14861	17584	2833	14751	17663	3058	14604	17740	3290	14450
97	65	Chontales 	6507	San Francisco de Cuapa	277	28.66787004	17.00722022	7941	3230	4711	8777	3873	4904	Cuapa	12.26666667	-85.38333333	121600	-852300	320	0	0	0	0	0	0	6183	0	6183	6183	2391	3793	2660	3958	6618	2784	4059	6843	central	CHONTALES	San Francisco de Cuapa	6410	2513	3897	6644	2642	4002	6886	2776	4110	7137	2912	4225	7396	3059	4337	7664	3211	4453	7941	3369	4572	8211	3530	4681	8490	3698	4792
98	65	Chontales 	6510	Juigalpa	726.75	81.93326453	13.96904025	59545	49393	10152	60152	51486	8666	Juigalpa	12.1	-85.36666667	120600	-852200	116	18366	6146	12220	17909	8772	9137	56065	40841	15224	57200	46478	10722	47137	9944	57081	47987	9863	57850	central	CHONTALES	Juigalpa	57542	47062	10480	57882	47644	10238	58219	48226	9994	58555	48718	9836	58887	49289	9598	59218	49808	9409	59545	50320	9225	59751	50722	9029	59954	51111	8842
99	65	Chontales 	6515	La Libertad	774.55	17.51855916	9.995481247	13569	5827	7742	13914	6184	7730	La Libertad	12.2	-85.16666667	121200	-851000	498	7297	1355	5942	9551	1361	8190	10847	2634	8213	12586	5301	7285	5372	7189	12561	5495	7299	12794	central	CHONTALES	La Libertad	12725	5393	7332	12864	5486	7379	13004	5579	7425	13145	5663	7482	13286	5756	7529	13427	5846	7581	13569	5937	7632	13684	6018	7666	13799	6101	7699
100	65	Chontales 	6520	Santo Domingo	681.71	20.51312142	12.10485397	13984	5732	8252	14127	5998	8128	Santo Domingo	12.25	-85.06666667	121500	-850400	503	11835	1779	10056	7406	1649	5757	13825	5180	8645	13433	5398	8035	5530	8019	13549	5621	8090	13711	central	CHONTALES	Santo Domingo	13514	5465	8048	13593	5531	8062	13673	5598	8075	13751	5655	8097	13830	5719	8110	13907	5780	8127	13984	5842	8142	14032	5893	8139	14080	5945	8135
101	65	Chontales 	6525	Santo Tomás	546.6	34.31028174	9.846322722	18754	13372	5382	18945	13870	5075	Santo Tomás	12.06666667	-85.08333333	120400	-850500	410	5324	1530	3794	6917	2320	4597	17576	11171	6405	18015	12632	5383	12775	5203	17978	12992	5228	18220	central	CHONTALES	Santo Tomas	18123	12778	5345	18230	12925	5306	18337	13070	5266	18442	13190	5252	18547	13332	5215	18651	13460	5191	18754	13586	5168	18819	13684	5135	18883	13779	5104
102	65	Chontales 	6530	San Pedro del Lóvago	466.5	19.44480171	10.71811361	9071	4071	5000	9246	4301	4945	San Pedro de Lívago	12.11666667	-85.11666667	120700	-850700	340	6981	709	6272	4889	1107	3782	7959	3155	4804	8533	3752	4781	3819	4726	8545	3897	4785	8682	central	CHONTALES	San Pedro de Lovago	8609	3811	4799	8686	3869	4818	8763	3929	4835	8840	3980	4860	8917	4039	4878	8994	4095	4899	9071	4152	4919	9130	4201	4929	9188	4250	4938
103	65	Chontales 	6535	Acoyapa	1381.79	14.32345002	7.465678576	19792	9476	10316	19994	9838	10155	Acoyapa	11.96666667	-85.16666667	115800	-851000	99	7676	1755	5921	6883	2853	4030	18941	8499	10442	19012	8960	10052	9054	9919	18973	9206	10022	19228	central	CHONTALES	Acoyapa	19126	9062	10065	19239	9163	10076	19351	9263	10088	19463	9347	10116	19573	9444	10129	19683	9534	10149	19792	9624	10168	19861	9694	10166	19928	9766	10161
104	65	Chontales 	6540	Villa Sandino	676.51	21.7129089	10.25262006	14689	7753	6936	14839	8026	6813	Villa Sandino	12.03333333	-84.98333333	120200	-845900	306	10735	1126	9609	10189	1473	8716	22093	6700	15393	14110	7341	6769	7465	6720	14185	7580	6781	14361	central	CHONTALES	Villa Sandino	14195	7422	6773	14279	7502	6777	14362	7582	6780	14445	7647	6798	14527	7724	6802	14608	7795	6814	14689	7864	6825	14740	7919	6821	14790	7972	6818
105	65	Chontales 	6545	El Coral	306	25.84640523	13.26470588	7909	3850	4059	8055	4116	3939	El Coral	11.91666667	-84.65	115500	-843900	180	0	0	0	0	0	0	7454	0	7454	7454	3524	3930	3694	3944	7638	3765	3968	7733	central	CHONTALES	El Coral	7519	3586	3934	7584	3648	3936	7649	3711	3938	7714	3767	3947	7779	3830	3949	7844	3891	3953	7909	3952	3957	7958	4006	3952	8007	4060	3946
